elapsed_seconds,num_steps,progress,lr_mult,train_loss_ema,val_bpb_capped,eval_cap_tokens
2160.1,8940,0.05,1.0,3.293407,1.182752,5242880
4320.0,18058,0.1,1.0,3.284351,1.170688,5242880
6480.2,26387,0.15,1.0,3.265508,1.163903,5242880
8640.1,34119,0.2,1.0,3.268701,1.1607,5242880
10800.2,41846,0.25,1.0,3.259725,1.159463,5242880
12960.1,49580,0.3,1.0,3.247971,1.158311,5242880
15120.1,57310,0.35,0.9321,3.271169,1.152699,5242880
17280.3,65049,0.4,0.8643,3.1868,1.149324,5242880
19440.1,72789,0.45,0.7964,3.234647,1.143531,5242880
21600.1,82052,0.5,0.7286,3.202168,1.1376,5242880
23760.1,91315,0.55,0.6607,3.187128,1.131129,5242880
25920.1,100578,0.6,0.5929,3.163545,1.125045,5242880
28080.1,109841,0.65,0.525,3.159039,1.118809,5242880
30240.2,119104,0.7,0.4571,3.113284,1.111622,5242880
32400.2,128367,0.75,0.3893,3.119915,1.104188,5242880
34560.2,137630,0.8,0.3214,3.106564,1.095888,5242880
36720.2,146893,0.85,0.2536,3.037586,1.086848,5242880
38880.0,156155,0.9,0.1857,2.998285,1.075754,5242880
41040.2,165419,0.95,0.1179,2.989687,1.060765,5242880
