elapsed_seconds,num_steps,progress,lr_mult,train_loss_ema,val_bpb_capped,eval_cap_tokens
360.2,1703,0.05,1.0,3.482985,1.240929,5242880
720.2,3409,0.1,1.0,3.389916,1.207485,5242880
1080.2,5114,0.15,1.0,3.371699,1.195871,5242880
1440.1,6819,0.2,1.0,3.372402,1.187254,5242880
1800.0,8525,0.25,1.0,3.296945,1.182904,5242880
2160.1,10231,0.3,1.0,3.337967,1.179675,5242880
2520.0,11937,0.35,1.0,3.310179,1.176183,5242880
2880.1,13644,0.4,1.0,3.303471,1.172986,5242880
3240.1,15241,0.45,1.0,3.29598,1.171718,5242880
3600.0,16697,0.5,1.0,3.301526,1.170775,5242880
3960.2,18153,0.55,1.0,3.278951,1.168795,5242880
4320.2,19608,0.6,1.0,3.278227,1.168156,5242880
4680.2,21063,0.65,1.0,3.298775,1.168016,5242880
5040.1,22516,0.7,1.0,3.298593,1.168763,5242880
5400.1,23970,0.75,0.8417,3.2409,1.153807,5242880
5760.2,25425,0.8,0.6833,3.212552,1.140222,5242880
6120.2,26877,0.85,0.525,3.138969,1.125418,5242880
6480.1,28337,0.9,0.3667,3.103979,1.108038,5242880
6840.2,29798,0.95,0.2084,3.048154,1.084563,5242880
